단체명,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
경기 시흥시,1.0229 ,-0.1769 ,1.0983 ,-0.0474 ,0.9959 ,0.0284 ,0.1040 ,0.3980 ,-0.1561 ,0.1293 
경기 광명시,0.9955 ,-0.2635 ,1.0118 ,-0.0254 ,0.9944 ,-0.0274 ,0.0494 ,0.0640 ,-0.1431 ,-0.0632 
경기 파주시,1.0103 ,-0.3802 ,1.0432 ,-0.2866 ,0.9969 ,0.0970 ,0.0995 ,0.0117 ,-0.3537 ,-0.2330 
경기 군포시,1.0258 ,-0.2439 ,0.9305 ,-0.0742 ,0.9949 ,-0.0332 ,0.1974 ,-0.1136 ,0.2197 ,0.0499 
경기 광주시,1.0014 ,-0.2867 ,1.0458 ,-0.0623 ,0.9977 ,0.1048 ,0.0441 ,0.1078 ,0.1343 ,-0.2524 
경기 김포시,1.0031 ,-0.4385 ,0.9658 ,-0.2150 ,0.9960 ,0.0179 ,0.2761 ,0.1032 ,-0.0053 ,0.2321 
경기 오산시,0.9891 ,-0.2997 ,0.9588 ,-0.1013 ,0.9966 ,0.0303 ,0.2520 ,0.2237 ,0.2927 ,0.0448 
강원 춘천시,1.0103 ,-0.0689 ,0.9673 ,-0.0850 ,0.9952 ,0.0604 ,0.1292 ,0.1480 ,-0.3609 ,-0.0263 
강원 원주시,1.0089 ,-0.1662 ,1.0442 ,-0.3696 ,0.9962 ,0.0999 ,0.2511 ,0.1377 ,0.0774 ,0.0090 
충남 아산시,1.0115 ,-0.1929 ,1.1533 ,-0.1892 ,0.9973 ,0.0127 ,0.1046 ,0.1905 ,-0.2363 ,0.0827 
전북 군산시,0.9989 ,-0.2273 ,1.0519 ,-0.0474 ,0.9952 ,0.0012 ,0.1722 ,0.0850 ,0.2821 ,-0.0163 
전북 익산시,1.0128 ,-0.2738 ,1.0634 ,-0.0658 ,0.9932 ,0.0668 ,0.0463 ,0.0427 ,0.2570 ,0.0107 
전남 여수시,0.9972 ,-0.1361 ,1.0990 ,-0.7169 ,0.9975 ,0.0018 ,0.0830 ,0.0945 ,-0.8447 ,-0.1454 
전남 순천시,1.0203 ,-0.0235 ,1.1198 ,-0.2310 ,0.9960 ,0.0374 ,0.0466 ,0.0753 ,-0.0266 ,-0.2522 
경북 경주시,0.9853 ,-0.3570 ,0.9823 ,0.2855 ,0.9955 ,-0.0046 ,0.2257 ,0.0563 ,0.3269 ,0.0989 
경북 구미시,1.0026 ,-0.1946 ,1.1045 ,-0.0662 ,0.9973 ,0.0481 ,-0.0205 ,0.0552 ,0.4558 ,0.4833 
경남 진주시,1.0031 ,-0.2538 ,1.0247 ,-0.0681 ,0.9955 ,0.0367 ,0.0538 ,0.0835 ,-0.1897 ,-0.1622 
경남 거제시,1.0013 ,-0.1568 ,0.9343 ,-0.1746 ,0.9982 ,0.0718 ,0.1488 ,0.0748 ,0.1312 ,-0.0196 
경남 양산시,1.0267 ,-0.0434 ,1.0918 ,0.0389 ,0.9985 ,0.0388 ,0.0893 ,0.0323 ,-0.0076 ,0.1479
경기 이천시,1.0151 ,-0.1987 ,1.0249 ,-0.1667 ,0.9980 ,-0.0257 ,0.0797 ,0.1271 ,0.2669 ,0.0016 
경기 구리시,0.9990 ,-0.2892 ,1.0312 ,-0.0770 ,0.9944 ,-0.0600 ,0.1290 ,0.0619 ,-0.5260 ,-0.1079 
경기 양주시,0.9907 ,-0.3472 ,0.9965 ,0.0029 ,0.9966 ,0.0312 ,0.1635 ,0.2484 ,-0.4629 ,-0.2844 
경기 안성시,1.0167 ,-0.1569 ,1.0026 ,-0.0462 ,0.9986 ,0.0190 ,0.0977 ,0.1629 ,-0.3176 ,0.0422 
경기 포천시,1.0204 ,-0.5386 ,1.0131 ,-0.2061 ,0.9969 ,-0.0293 ,-0.0341 ,0.0846 ,0.0892 ,-0.0895 
경기 하남시,0.9989 ,-0.2099 ,1.0512 ,-0.0622 ,0.9970 ,-0.0178 ,0.0633 ,0.0995 ,0.0362 ,-0.0054 
경기 의왕시,0.9990 ,-0.2390 ,1.0787 ,-0.0731 ,0.9954 ,-0.0847 ,0.1224 ,0.0576 ,0.0198 ,-0.1229 
경기 과천시,1.0021 ,-0.0629 ,1.0013 ,-0.2114 ,0.9970 ,-0.0406 ,0.2403 ,0.3656 ,-0.2637 ,-1.0019 
경기 여주시,1.0352 ,-0.0120 ,1.0204 ,-0.1438 ,0.9980 ,-0.0193 ,0.1142 ,0.1274 ,-0.0811 ,-0.0464 
강원 강릉시,1.0061 ,-0.0701 ,1.0629 ,0.1621 ,0.9946 ,0.0043 ,0.1141 ,0.2179 ,-0.0849 ,-0.0519 
충북 충주시,1.0169 ,-0.1900 ,1.0369 ,-0.0443 ,0.9957 ,-0.0301 ,0.1173 ,0.1796 ,0.3663 ,-0.0724 
충북 제천시,1.0057 ,-0.2501 ,1.0937 ,-0.2721 ,0.9971 ,0.0018 ,0.0999 ,0.0785 ,-0.4677 ,-0.0538 
충남 서산시,0.9929 ,-0.2468 ,1.0534 ,-0.2489 ,0.9961 ,0.0567 ,0.0560 ,0.0752 ,-0.0159 ,-0.1008 
충남 당진시,1.0043 ,-0.3073 ,1.0286 ,-0.0547 ,0.9965 ,0.0221 ,0.0781 ,0.0436 ,0.1051 ,0.0221 
전남 목포시,1.0106 ,-0.0795 ,1.0470 ,-0.1153 ,0.9941 ,0.0075 ,0.0982 ,0.1044 ,0.1241 ,-0.1632 
전남 광양시,0.9993 ,-0.1980 ,1.0107 ,-0.1400 ,0.9980 ,0.0009 ,0.0451 ,0.0378 ,0.5691 ,0.0736 
경북 김천시,0.9868 ,-0.2555 ,1.0901 ,-0.0863 ,0.9944 ,0.1019 ,0.0766 ,0.1539 ,-1.1352 ,0.0304 
경북 안동시,1.0079 ,-0.1748 ,1.0677 ,-0.1834 ,0.9937 ,0.0411 ,0.0895 ,0.1011 ,0.2551 ,-0.0336 
경북 경산시,1.0009 ,-0.1473 ,1.0870 ,-0.0651 ,0.9950 ,0.0362 ,0.0548 ,0.1023 ,-0.1510 ,0.2042 
시(3) 평균,1.0057 ,-0.2091 ,1.0420 ,-0.1069 ,0.9962 ,0.0008 ,0.0950 ,0.1279 ,-0.0881 ,-0.0926 
시단위 평균,1.0037 ,-0.2322 ,1.0679 ,-0.1293 ,0.9956 ,0.0294 ,0.1261 ,0.1227 ,-0.0263 ,-0.0404
경기 동두천시,0.9869 ,-0.2435 ,0.8879 ,-0.0344 ,0.9944 ,0.0290 ,0.1336 ,0.1209 ,-0.2786 ,-0.1986 
강원 동해시,1.0016 ,-0.1737 ,1.0618 ,0.0289 ,0.9934 ,-0.0388 ,0.4055 ,0.4499 ,0.0593 ,-0.4637 
강원 태백시,1.0002 ,0.1738 ,1.0920 ,-0.2139 ,0.9948 ,0.0812 ,0.2310 ,0.1735 ,-0.2942 ,0.0004 
강원 속초시,1.0091 ,-0.2115 ,1.0159 ,-0.2246 ,0.9945 ,0.0024 ,0.2212 ,0.1789 ,0.0319 ,-0.2207 
강원 삼척시,1.0090 ,-0.0240 ,1.0866 ,-0.1294 ,0.9922 ,0.0456 ,0.3579 ,0.0710 ,-0.0657 ,0.1050 
충남 공주시,1.0099 ,-0.1290 ,1.1058 ,-0.1769 ,0.9943 ,0.0426 ,0.1390 ,0.1694 ,-0.2081 ,-0.0550 
충남 보령시,1.0113 ,-0.1612 ,1.0608 ,-0.1022 ,0.9975 ,0.0425 ,0.0597 ,0.2031 ,0.1420 ,0.1033 
충남 논산시,1.0129 ,-0.0328 ,1.0624 ,0.0956 ,0.9929 ,0.0291 ,0.3477 ,0.1100 ,-0.0404 ,-0.0919 
충남 계룡시,1.0112 ,-0.0270 ,1.1829 ,-0.0653 ,0.9935 ,0.0077 ,0.2010 ,0.0764 ,-0.1102 ,-0.0490 
전북 정읍시,1.0073 ,-0.1446 ,1.1029 ,-0.1536 ,0.9982 ,0.0655 ,0.1309 ,0.0853 ,0.0010 ,-0.0839 
전북 남원시,1.0006 ,-0.2329 ,1.0998 ,-0.0794 ,0.9913 ,0.0574 ,0.0875 ,0.1190 ,0.0107 ,0.2171 
전북 김제시,1.0086 ,-0.2710 ,1.1027 ,-0.1018 ,0.9921 ,0.0357 ,0.0230 ,0.0641 ,0.1248 ,0.2946 
전남 나주시,1.0014 ,-0.2165 ,1.0880 ,-0.0129 ,0.9950 ,0.0758 ,0.2351 ,0.2053 ,-0.1792 ,0.1823 
경북 영주시,0.9769 ,-0.2973 ,0.9679 ,-0.1681 ,0.9937 ,0.0346 ,0.0685 ,0.1629 ,0.0203 ,-0.3645 
경북 영천시,0.9967 ,-0.1061 ,1.1378 ,0.0015 ,0.9953 ,0.0093 ,0.0659 ,0.0857 ,0.2120 ,0.0703 
경북 상주시,0.9984 ,-0.1789 ,1.1672 ,-0.3752 ,0.9921 ,0.0433 ,0.0504 ,0.1660 ,0.0881 ,-0.0725 
경북 문경시,0.9790 ,-0.3251 ,1.0805 ,-0.1397 ,0.9914 ,0.0682 ,0.3885 ,0.2201 ,0.0438 ,0.0308 
경남 통영시,0.9946 ,-0.2877 ,1.1374 ,-0.0817 ,0.9968 ,0.0718 ,0.0786 ,0.0997 ,0.1756 ,-0.0074 
경남 사천시,0.9887 ,-0.6223 ,1.0858 ,-0.0128 ,0.9965 ,0.0050 ,0.0285 ,0.0488 ,-0.4655 ,0.0051 
경남 밀양시,0.9905 ,-0.2215 ,0.7892 ,-0.0636 ,0.9985 ,0.0410 ,0.1103 ,0.0377 ,0.0445 ,0.0595
